,CG,SAM
sun 6,8,8
sun 7,14,5
sun 8,12,4
sun 9,11,4
sun 10,11,2
sun 11,10,2
sun 12,12,3
sun 1,13,3
sun 2,5,6
sun 3,0,8
sun 4,0,8
sun 5,0,8
mon 6,8,8
mon 7,8,6
mon 8,10,3
mon 9,10,3
mon 10,2,2
mon 11,1,4
mon 12,4,5
mon 1,4,5
mon 2,6,6
mon 3,6,6
mon 4,0,8
mon 5,0,8
tue 6,8,8
tue 7,9,6
tue 8,8,5
tue 9,8,5
tue 10,0,5
tue 11,1,4
tue 12,1,3
tue 1,3,3
tue 2,4,3
tue 3,0,6
tue 4,0,8
tue 5,0,8
wed 6,,8
wed 7,0,7
wed 8,4,5
wed 9,1,5
wed 10,1,4
wed 11,2,4
wed 12,4,3
wed 1,5,3
wed 2,5,4
wed 3,5,5
wed 4,0,8
wed 5,0,8
thu 6,8,8
thu 7,8,6
thu 8,8,3
thu 9,0,2
thu 10,8,2
thu 11,8,4
thu 12,8,4
thu 1,8,5
thu 2,0,5
thu 3,0,5
thu 4,0,8
thu 5,0,8
fri 6,8,8
fri 7,8,8
fri 8,8,6
fri 9,0,6
fri 10,11,5
fri 11,11,5
fri 12,11,6
fri 1,11,5
fri 2,0,6
fri 3,0,6
fri 4,0,7
fri 5,0,8
sat 6,8,8
sat 7,8,7
sat 8,8,6
sat 9,0,6
sat 10,0,5
sat 11,0,4
sat 12,0,5
sat 1,0,5
sat 2,0,6
sat 3,0,8
sat 4,0,8
sat 5,0,8
