,CG,SAM
sun 7,3,3
sun 8,3,2
sun 9,2,2
sun 10,2,0
sun 11,1,1
sun 12,1,2
sun 1,2,2
sun 2,2,5
sun 3,0,
sun 4,0,
sun 5,0,
mon 7,0,3
mon 8,2,1
mon 9,1,1
mon 10,1,0
mon 11,1,2
mon 12,4,2
mon 1,5,1
mon 2,5,2
mon 3,5,3
mon 4,0,5
mon 5,0,6
tue 7,1,3
tue 8,1,2
tue 9,1,1
tue 10,1,1
tue 11,3,2
tue 12,3,1
tue 1,3,2
tue 2,3,2
tue 3,0,4
tue 4,0,6
tue 5,0,6
wed 7,0,6
wed 8,1,3
wed 9,1,2
wed 10,1,1
wed 11,1,0
wed 12,3,0
wed 1,3,1
wed 2,3,2
wed 3,3,3
wed 4,0,6
wed 5,0,6
thu 7,0,4
thu 8,0,2
thu 9,0,1
thu 10,0,1
thu 11,0,3
thu 12,0,0
thu 1,0,1
thu 2,0,1
thu 3,0,1
thu 4,0,6
thu 5,0,6
fri 7,0,6
fri 8,0,4
fri 9,0,4
fri 10,3,4
fri 11,4,3
fri 12,4,2
fri 1,4,2
fri 2,,2
fri 3,,3
fri 4,,6
fri 5,,6
sat 7,,4
sat 8,,3
sat 9,,2
sat 10,,0
sat 11,,0
sat 12,,1
sat 1,,2
sat 2,,4
sat 3,,0
sat 4,,0
sat 5,,0
